No protocol specified
dropped categorical variable 'SEX', because it has only 1 values
[32m[I 2022-04-13 11:43:22,798][0m A new study created in memory with name: no-name-254e8165-b827-4f85-ba34-7ac6c258ede8[0m
[32m[I 2022-04-13 11:46:26,187][0m Trial 0 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 9.601762275126814e-06, 'n_estimators': 714, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.0867314001757515, 'min_impurity_decrease': 0.23803169650781417, 'max_features': 0.2927066369024008, 'subsample': 0.03387756265930235, 'dropout_rate': 0.4510978591106314, 'ccp_alpha': 2.130099317007141}. Best is trial 0 with value: -0.25.[0m
[32m[I 2022-04-13 11:46:49,695][0m Trial 1 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 2.918549055733011e-06, 'n_estimators': 420, 'criterion': 'absolute_error', 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.1391772620336584, 'min_impurity_decrease': 0.6567490879773445, 'max_features': 0.0029952003396889323, 'subsample': 0.27242057180534995, 'dropout_rate': 0.9215427803319308, 'ccp_alpha': 2.8417969538073735}. Best is trial 0 with value: -0.25.[0m
[32m[I 2022-04-13 11:47:02,790][0m Trial 2 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 0.00567022219568614, 'n_estimators': 170, 'criterion': 'friedman_mse', 'min_samples_split': 6, 'min_samples_leaf': 8, 'min_weight_fraction_leaf': 0.11388930470924513, 'min_impurity_decrease': 0.8937527866248409, 'max_features': 0.2931403953215528, 'subsample': 0.10833340686419862, 'dropout_rate': 0.5166944161906056, 'ccp_alpha': 3.9549081555925873}. Best is trial 0 with value: -0.25.[0m
[32m[I 2022-04-13 11:47:18,847][0m Trial 3 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 0.002798539764326695, 'n_estimators': 188, 'criterion': 'absolute_error', 'min_samples_split': 6, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.14372765808503649, 'min_impurity_decrease': 0.2688181506173411, 'max_features': 0.7344447834769401, 'subsample': 0.5001306727053666, 'dropout_rate': 0.7776806530410284, 'ccp_alpha': 2.852338761993977}. Best is trial 0 with value: -0.25.[0m
[32m[I 2022-04-13 11:48:09,255][0m Trial 4 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.00017017724018076146, 'n_estimators': 335, 'criterion': 'squared_error', 'min_samples_split': 5, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.271097797568478, 'min_impurity_decrease': 0.08196188040248926, 'max_features': 0.3391435660079326, 'subsample': 0.8375224146884485, 'dropout_rate': 0.963785084003424, 'ccp_alpha': 0.9373626005302096}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 11:51:17,528][0m Trial 5 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 4.93968540001499e-05, 'n_estimators': 451, 'criterion': 'absolute_error', 'min_samples_split': 5, 'min_samples_leaf': 7, 'min_weight_fraction_leaf': 0.30414016726889803, 'min_impurity_decrease': 0.5779471870086661, 'max_features': 0.7372670648621608, 'subsample': 0.45739803514932637, 'dropout_rate': 0.19427392841596824, 'ccp_alpha': 1.3077797078755666}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 11:55:08,688][0m Trial 6 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 9.913930035334444e-05, 'n_estimators': 891, 'criterion': 'absolute_error', 'min_samples_split': 4, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.4032427401390683, 'min_impurity_decrease': 0.8351441918812484, 'max_features': 0.9356527109296228, 'subsample': 0.6203463093471783, 'dropout_rate': 0.7428513017830134, 'ccp_alpha': 3.2195627263595847}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 11:56:42,464][0m Trial 7 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.008113702278685825, 'n_estimators': 487, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.25840728078249686, 'min_impurity_decrease': 0.4975984343611962, 'max_features': 0.953530028383043, 'subsample': 0.5699773729372303, 'dropout_rate': 0.802605448201914, 'ccp_alpha': 0.9229315025651197}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 11:57:13,887][0m Trial 8 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 2.003587302639569e-05, 'n_estimators': 218, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.21896879960894972, 'min_impurity_decrease': 0.21044954567720725, 'max_features': 0.49172264842147656, 'subsample': 0.5521858138358171, 'dropout_rate': 0.8300745104500581, 'ccp_alpha': 4.966603546819793}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 11:57:42,586][0m Trial 9 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 1.0106643969341701e-05, 'n_estimators': 142, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 8, 'min_weight_fraction_leaf': 0.3450056880739624, 'min_impurity_decrease': 0.46095144716706243, 'max_features': 0.0019298160915387505, 'subsample': 0.6459747179873147, 'dropout_rate': 0.135423090679054, 'ccp_alpha': 2.1528368135414935}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 11:58:20,068][0m Trial 10 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.07877290464853487, 'n_estimators': 281, 'criterion': 'squared_error', 'min_samples_split': 10, 'min_samples_leaf': 10, 'min_weight_fraction_leaf': 0.004734401544229827, 'min_impurity_decrease': 0.009581584345270788, 'max_features': 0.28033040708447343, 'subsample': 0.922248793260064, 'dropout_rate': 0.9997782633072205, 'ccp_alpha': 0.2027230951307396}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:01:04,277][0m Trial 11 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.00026218381138603657, 'n_estimators': 400, 'criterion': 'squared_error', 'min_samples_split': 5, 'min_samples_leaf': 7, 'min_weight_fraction_leaf': 0.473776459109299, 'min_impurity_decrease': 0.7024907720747257, 'max_features': 0.6588506652187952, 'subsample': 0.9981762227050796, 'dropout_rate': 0.02373980719699384, 'ccp_alpha': 1.089353876704934}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:05:18,097][0m Trial 12 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.00012563486595262272, 'n_estimators': 582, 'criterion': 'absolute_error', 'min_samples_split': 8, 'min_samples_leaf': 10, 'min_weight_fraction_leaf': 0.29398341487637897, 'min_impurity_decrease': 0.006546833768956331, 'max_features': 0.5243035308591931, 'subsample': 0.34445561568736976, 'dropout_rate': 0.2969391076738386, 'ccp_alpha': 1.3122178941955216}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:05:39,816][0m Trial 13 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.0012209138039964483, 'n_estimators': 100, 'criterion': 'absolute_error', 'min_samples_split': 5, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.35991591024722724, 'min_impurity_decrease': 0.3879598488308986, 'max_features': 0.7700212101668406, 'subsample': 0.8241159138067918, 'dropout_rate': 0.5822566977959246, 'ccp_alpha': 0.1417523041345281}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:06:52,582][0m Trial 14 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 3.547684794632877e-05, 'n_estimators': 305, 'criterion': 'squared_error', 'min_samples_split': 4, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.23325452176296707, 'min_impurity_decrease': 0.6435926172407974, 'max_features': 0.4757794944329388, 'subsample': 0.7532952521413961, 'dropout_rate': 0.33045882116075953, 'ccp_alpha': 1.6063338832830338}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:07:54,555][0m Trial 15 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.0006909791331525472, 'n_estimators': 263, 'criterion': 'absolute_error', 'min_samples_split': 7, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.44583138784002574, 'min_impurity_decrease': 0.36642547946244974, 'max_features': 0.18256056686888505, 'subsample': 0.39074006441248993, 'dropout_rate': 0.2870614438059965, 'ccp_alpha': 0.7955182633688711}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:09:32,456][0m Trial 16 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 3.0445342211903776e-06, 'n_estimators': 379, 'criterion': 'squared_error', 'min_samples_split': 4, 'min_samples_leaf': 8, 'min_weight_fraction_leaf': 0.3076665128808264, 'min_impurity_decrease': 0.1306998839734777, 'max_features': 0.6031887404731124, 'subsample': 0.7394074983659816, 'dropout_rate': 0.5908516366602125, 'ccp_alpha': 1.7328253716949003}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:10:25,804][0m Trial 17 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 2.069771534540563e-05, 'n_estimators': 227, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.20260180094573949, 'min_impurity_decrease': 0.7474766758371447, 'max_features': 0.4539007837884798, 'subsample': 0.6995261352508593, 'dropout_rate': 0.3743217612163756, 'ccp_alpha': 4.412405235138438}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:11:21,593][0m Trial 18 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.0009151486843573669, 'n_estimators': 246, 'criterion': 'absolute_error', 'min_samples_split': 7, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.4967134606732773, 'min_impurity_decrease': 0.31950160628748664, 'max_features': 0.15703796510575185, 'subsample': 0.35491186332823227, 'dropout_rate': 0.637782427185175, 'ccp_alpha': 4.772832981957025}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:11:47,564][0m Trial 19 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 1.1189069234745574e-06, 'n_estimators': 128, 'criterion': 'squared_error', 'min_samples_split': 8, 'min_samples_leaf': 9, 'min_weight_fraction_leaf': 0.36304594875919366, 'min_impurity_decrease': 0.47987796370937846, 'max_features': 0.5645540787425471, 'subsample': 0.662824483821538, 'dropout_rate': 0.040903072567616744, 'ccp_alpha': 1.9829520871954542}. Best is trial 4 with value: 0.25.[0m
