Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
CoxPH $_{LogRank}$,1.0,1.0,0.7454 ± 0.0112,0.1457 ± 0.0078,0.8169 ± 0.0118,0.4690 ± 0.2674,0.7370,0.1429,0.8019,0.0384
CoxPH $_{LogRank}$,1.0,0.75,0.7047 ± 0.0393,0.1879 ± 0.0128,0.8118 ± 0.0118,0.5397 ± 0.2287,0.7221,0.1888,0.7934,0.0745
CoxPH $_{LogRank}$,1.0,0.5,0.6313 ± 0.0783,0.2678 ± 0.0190,0.8036 ± 0.0135,0.3635 ± 0.2812,0.6960,0.2831,0.7843,0.1305
CoxPH $_{LogRank}$,1.0,0.25,0.6012 ± 0.1001,0.4365 ± 0.0171,0.7874 ± 0.0183,0.0361 ± 0.0631,0.6498,0.4667,0.7605,0.4451
CoxPH $_{LogRank}$,0.75,1.0,0.7463 ± 0.0119,0.1489 ± 0.0088,0.8162 ± 0.0123,0.4364 ± 0.1827,0.7356,0.1469,0.8016,0.2306
CoxPH $_{LogRank}$,0.75,0.75,0.7307 ± 0.0168,0.1851 ± 0.0127,0.8105 ± 0.0120,0.3580 ± 0.2273,0.7193,0.1932,0.7914,0.0217
CoxPH $_{LogRank}$,0.75,0.5,0.7047 ± 0.0225,0.2557 ± 0.0166,0.8029 ± 0.0140,0.0700 ± 0.0854,0.6932,0.2862,0.7834,0.0000
CoxPH $_{LogRank}$,0.75,0.25,0.6562 ± 0.0429,0.4118 ± 0.0110,0.7863 ± 0.0189,0.0000 ± 0.0000,0.6490,0.4612,0.7592,0.0000
CoxPH $_{LogRank}$,0.5,1.0,0.7639 ± 0.0124,0.1498 ± 0.0105,0.8225 ± 0.0148,0.0379 ± 0.0396,0.7287,0.1549,0.7978,0.0000
CoxPH $_{LogRank}$,0.5,0.75,0.7568 ± 0.0138,0.1739 ± 0.0105,0.8178 ± 0.0145,0.0111 ± 0.0100,0.7124,0.1898,0.7916,0.0000
CoxPH $_{LogRank}$,0.5,0.5,0.7410 ± 0.0195,0.2183 ± 0.0094,0.8087 ± 0.0194,0.0003 ± 0.0003,0.6958,0.2453,0.7812,0.0000
CoxPH $_{LogRank}$,0.5,0.25,0.7139 ± 0.0277,0.3215 ± 0.0190,0.7889 ± 0.0226,0.0000 ± 0.0000,0.6695,0.3628,0.7693,0.0000
CoxPH $_{LogRank}$,0.25,1.0,0.8034 ± 0.0228,0.1163 ± 0.0104,0.8511 ± 0.0252,0.0217 ± 0.0213,0.7675,0.1194,0.8215,0.0001
CoxPH $_{LogRank}$,0.25,0.75,0.7965 ± 0.0235,0.1279 ± 0.0080,0.8433 ± 0.0256,0.0063 ± 0.0058,0.7508,0.1365,0.8046,0.0000
CoxPH $_{LogRank}$,0.25,0.5,0.7875 ± 0.0242,0.1521 ± 0.0068,0.8337 ± 0.0263,0.0004 ± 0.0005,0.7413,0.1593,0.7985,0.0000
CoxPH $_{LogRank}$,0.25,0.25,0.7747 ± 0.0320,0.2022 ± 0.0157,0.8221 ± 0.0325,0.0000 ± 0.0000,0.7226,0.2110,0.7901,0.0000
CoxPH ,1.0,1.0,0.7454 ± 0.0112,0.1457 ± 0.0078,0.8169 ± 0.0118,0.4687 ± 0.2672,0.7370,0.1429,0.8019,0.0385
CoxPH ,1.0,0.75,0.7047 ± 0.0393,0.1879 ± 0.0128,0.8118 ± 0.0118,0.5395 ± 0.2286,0.7222,0.1888,0.7935,0.0744
CoxPH ,1.0,0.5,0.6312 ± 0.0784,0.2679 ± 0.0191,0.8035 ± 0.0135,0.3633 ± 0.2810,0.6960,0.2831,0.7843,0.1308
CoxPH ,1.0,0.25,0.6012 ± 0.1001,0.4365 ± 0.0171,0.7875 ± 0.0183,0.0361 ± 0.0632,0.6499,0.4667,0.7605,0.4476
CoxPH ,0.75,1.0,0.7463 ± 0.0119,0.1489 ± 0.0089,0.8162 ± 0.0124,0.4364 ± 0.1828,0.7356,0.1469,0.8016,0.2308
CoxPH ,0.75,0.75,0.7307 ± 0.0169,0.1851 ± 0.0127,0.8105 ± 0.0121,0.3579 ± 0.2272,0.7193,0.1932,0.7914,0.0218
CoxPH ,0.75,0.5,0.7049 ± 0.0225,0.2557 ± 0.0166,0.8029 ± 0.0140,0.0701 ± 0.0856,0.6932,0.2862,0.7833,0.0000
CoxPH ,0.75,0.25,0.6563 ± 0.0429,0.4118 ± 0.0110,0.7863 ± 0.0190,0.0000 ± 0.0000,0.6490,0.4613,0.7592,0.0000
CoxPH ,0.5,1.0,0.7638 ± 0.0124,0.1498 ± 0.0105,0.8224 ± 0.0148,0.0379 ± 0.0396,0.7288,0.1549,0.7979,0.0000
