Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
CoxPH _LogRank,1.0,1.0,0.6718 ± 0.0278,0.1461 ± 0.0321,0.7271 ± 0.0465,0.6022 ± 0.1338,0.7021,0.1341,0.7599,0.1379
CoxPH _LogRank,1.0,0.75,0.6679 ± 0.0219,0.2290 ± 0.0552,0.7254 ± 0.0440,0.6653 ± 0.2143,0.6817,0.2609,0.7443,0.1406
CoxPH _LogRank,1.0,0.5,0.6562 ± 0.0302,0.4065 ± 0.0749,0.7136 ± 0.0412,0.0444 ± 0.0493,0.6644,0.5210,0.7387,0.0000
CoxPH _LogRank,1.0,0.25,0.6331 ± 0.0455,0.8693 ± 0.0822,0.6812 ± 0.0370,0.0000 ± 0.0000,0.6347,0.9931,0.7069,0.0000
CoxPH _LogRank,0.75,1.0,0.6718 ± 0.0278,0.1461 ± 0.0321,0.7271 ± 0.0465,0.6022 ± 0.1338,0.7021,0.1341,0.7599,0.1379
CoxPH _LogRank,0.75,0.75,0.6679 ± 0.0219,0.2290 ± 0.0552,0.7254 ± 0.0440,0.6653 ± 0.2143,0.6817,0.2609,0.7443,0.1406
CoxPH _LogRank,0.75,0.5,0.6562 ± 0.0302,0.4065 ± 0.0749,0.7136 ± 0.0412,0.0444 ± 0.0493,0.6644,0.5210,0.7387,0.0000
CoxPH _LogRank,0.75,0.25,0.6331 ± 0.0455,0.8693 ± 0.0822,0.6812 ± 0.0370,0.0000 ± 0.0000,0.6347,0.9931,0.7069,0.0000
CoxPH _LogRank,0.5,1.0,0.6705 ± 0.0287,0.1497 ± 0.0358,0.7282 ± 0.0488,0.5272 ± 0.1346,0.7043,0.1417,0.7622,0.4792
CoxPH _LogRank,0.5,0.75,0.6702 ± 0.0257,0.2273 ± 0.0544,0.7265 ± 0.0434,0.4203 ± 0.2917,0.6925,0.2613,0.7490,0.0471
