Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
CoxPH $_{LogRank}$,1.0,1.0,0.6847 ± 0.0220,0.1552 ± 0.0459,0.8016 ± 0.0311,0.6747 ± 0.2444,0.7037,0.1475,0.7652,0.7207
CoxPH $_{LogRank}$,1.0,0.75,0.6681 ± 0.0225,0.2313 ± 0.0592,0.7815 ± 0.0301,0.4647 ± 0.1797,0.7041,0.2266,0.7678,0.9382
CoxPH $_{LogRank}$,1.0,0.5,0.6496 ± 0.0256,0.3828 ± 0.0530,0.7554 ± 0.0431,0.0577 ± 0.0697,0.6985,0.4063,0.7553,0.1131
CoxPH $_{LogRank}$,1.0,0.25,0.6496 ± 0.0237,0.8179 ± 0.0897,0.7567 ± 0.0396,0.0009 ± 0.0015,0.6970,0.8444,0.7286,0.0009
CoxPH $_{LogRank}$,0.75,1.0,0.6847 ± 0.0220,0.1552 ± 0.0459,0.8016 ± 0.0311,0.6747 ± 0.2444,0.7037,0.1475,0.7652,0.7207
CoxPH $_{LogRank}$,0.75,0.75,0.6681 ± 0.0225,0.2313 ± 0.0592,0.7815 ± 0.0301,0.4647 ± 0.1797,0.7041,0.2266,0.7678,0.9382
CoxPH $_{LogRank}$,0.75,0.5,0.6496 ± 0.0256,0.3828 ± 0.0530,0.7554 ± 0.0431,0.0577 ± 0.0697,0.6985,0.4063,0.7553,0.1131
CoxPH $_{LogRank}$,0.75,0.25,0.6496 ± 0.0237,0.8179 ± 0.0897,0.7567 ± 0.0396,0.0009 ± 0.0015,0.6970,0.8444,0.7286,0.0009
CoxPH $_{LogRank}$,0.5,1.0,0.6905 ± 0.0190,0.1548 ± 0.0436,0.8021 ± 0.0308,0.7089 ± 0.2213,0.7030,0.1467,0.7658,0.5784
CoxPH $_{LogRank}$,0.5,0.75,0.6842 ± 0.0254,0.2266 ± 0.0509,0.7827 ± 0.0294,0.4990 ± 0.2235,0.7032,0.2219,0.7683,0.4858
CoxPH $_{LogRank}$,0.5,0.5,0.6720 ± 0.0389,0.3707 ± 0.0414,0.7562 ± 0.0430,0.0783 ± 0.1057,0.6920,0.3792,0.7568,0.3072
