No protocol specified
[32m[I 2022-04-13 11:44:06,848][0m A new study created in memory with name: no-name-0aab40b5-3eeb-420d-a579-cb603aaa6019[0m
[32m[I 2022-04-13 11:44:11,487][0m Trial 0 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.017553103748186347, 'n_estimators': 246, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.023000238880208572, 'min_impurity_decrease': 0.22649917377918485, 'max_features': 0.2509370038727874, 'subsample': 0.5756093753196724, 'dropout_rate': 0.8385757486345945, 'ccp_alpha': 3.236731951636076}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:44:23,713][0m Trial 1 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 8.866632943726424e-06, 'n_estimators': 329, 'criterion': 'absolute_error', 'min_samples_split': 4, 'min_samples_leaf': 8, 'min_weight_fraction_leaf': 0.16299923019075083, 'min_impurity_decrease': 0.4209132581044805, 'max_features': 0.16856670489485945, 'subsample': 0.8367973631941187, 'dropout_rate': 0.7334147444055011, 'ccp_alpha': 0.4520231109704728}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:44:49,775][0m Trial 2 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 0.0003235246537623691, 'n_estimators': 338, 'criterion': 'absolute_error', 'min_samples_split': 6, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.3148421026511386, 'min_impurity_decrease': 0.2831079138884966, 'max_features': 0.2848217241162165, 'subsample': 0.4701986348647966, 'dropout_rate': 0.3393719617604213, 'ccp_alpha': 3.477080360742689}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:45:01,881][0m Trial 3 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0051417236399520574, 'n_estimators': 167, 'criterion': 'squared_error', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.4114684902219888, 'min_impurity_decrease': 0.134074255127678, 'max_features': 0.13712006423967849, 'subsample': 0.44302323416580053, 'dropout_rate': 0.0806706691757958, 'ccp_alpha': 0.49062597213636194}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:49:26,923][0m Trial 4 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.024479372873024867, 'n_estimators': 943, 'criterion': 'absolute_error', 'min_samples_split': 3, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.01623346893004019, 'min_impurity_decrease': 0.11860438116629045, 'max_features': 0.6126003888835571, 'subsample': 0.0061259689000344375, 'dropout_rate': 0.3685259839523418, 'ccp_alpha': 3.1375886818281344}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:49:56,100][0m Trial 5 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 0.005464202861352895, 'n_estimators': 348, 'criterion': 'absolute_error', 'min_samples_split': 2, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.2430750257966721, 'min_impurity_decrease': 0.4765868639818622, 'max_features': 0.7438493014222102, 'subsample': 0.9490692926566209, 'dropout_rate': 0.5279725607276439, 'ccp_alpha': 1.8403839141890073}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:52:31,369][0m Trial 6 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 0.00018855275619266974, 'n_estimators': 776, 'criterion': 'absolute_error', 'min_samples_split': 9, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.13690634957714132, 'min_impurity_decrease': 0.9530002038936758, 'max_features': 0.8426714928769377, 'subsample': 0.50640456507958, 'dropout_rate': 0.35529980063860667, 'ccp_alpha': 0.3364087856174949}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:52:55,916][0m Trial 7 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 0.0013412251683660005, 'n_estimators': 603, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 10, 'min_weight_fraction_leaf': 0.4145605060939952, 'min_impurity_decrease': 0.5561829839391905, 'max_features': 0.2760962420306117, 'subsample': 0.8248312496941682, 'dropout_rate': 0.91980098578722, 'ccp_alpha': 1.9202851038421764}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:53:10,757][0m Trial 8 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 0.0021954821827990844, 'n_estimators': 302, 'criterion': 'absolute_error', 'min_samples_split': 6, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.4971370747549548, 'min_impurity_decrease': 0.3226419305594642, 'max_features': 0.11012445884666291, 'subsample': 0.9149195017203368, 'dropout_rate': 0.6009822992534102, 'ccp_alpha': 4.811207533286539}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:53:14,145][0m Trial 9 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0012789806351410544, 'n_estimators': 103, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 7, 'min_weight_fraction_leaf': 0.4632417759695527, 'min_impurity_decrease': 0.35638690231343617, 'max_features': 0.8412175220001552, 'subsample': 0.5002855353156195, 'dropout_rate': 0.388397855654977, 'ccp_alpha': 1.0197086113750022}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:53:18,554][0m Trial 10 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.06101996394676434, 'n_estimators': 186, 'criterion': 'squared_error', 'min_samples_split': 8, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.02303454362055584, 'min_impurity_decrease': 0.8523964773899135, 'max_features': 0.45979819703107333, 'subsample': 0.23116146927790304, 'dropout_rate': 0.9584603077691436, 'ccp_alpha': 4.479535688502947}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:53:31,191][0m Trial 11 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 3.49816080750936e-06, 'n_estimators': 231, 'criterion': 'friedman_mse', 'min_samples_split': 5, 'min_samples_leaf': 8, 'min_weight_fraction_leaf': 0.13200759663349737, 'min_impurity_decrease': 0.6628988074333091, 'max_features': 0.35967263163265834, 'subsample': 0.7211326467225215, 'dropout_rate': 0.7428167414855342, 'ccp_alpha': 3.0718541804583244}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:53:59,735][0m Trial 12 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 2.7660463838506503e-06, 'n_estimators': 451, 'criterion': 'squared_error', 'min_samples_split': 2, 'min_samples_leaf': 8, 'min_weight_fraction_leaf': 0.11208814230368613, 'min_impurity_decrease': 0.02691398343135365, 'max_features': 0.007349484938548173, 'subsample': 0.6727403473742456, 'dropout_rate': 0.7680449508767648, 'ccp_alpha': 2.1300065097501375}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:54:03,278][0m Trial 13 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 1.7721412775978273e-05, 'n_estimators': 130, 'criterion': 'squared_error', 'min_samples_split': 4, 'min_samples_leaf': 10, 'min_weight_fraction_leaf': 0.22048663742430455, 'min_impurity_decrease': 0.465985499583725, 'max_features': 0.20936647669503036, 'subsample': 0.6727994028471795, 'dropout_rate': 0.7485647160473535, 'ccp_alpha': 3.9228043717689998}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:54:12,173][0m Trial 14 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 3.3098354149708075e-05, 'n_estimators': 245, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.06339105308027132, 'min_impurity_decrease': 0.656953895927682, 'max_features': 0.4365260060803165, 'subsample': 0.31475357977581786, 'dropout_rate': 0.8376650778194167, 'ccp_alpha': 1.238148276168463}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:54:49,477][0m Trial 15 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 2.4801275385238344e-05, 'n_estimators': 457, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.3068256928497472, 'min_impurity_decrease': 0.20001501587251724, 'max_features': 0.5946239667639979, 'subsample': 0.8043374479394332, 'dropout_rate': 0.6590028054448144, 'ccp_alpha': 2.6183343720038446}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:55:11,029][0m Trial 16 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 1.3247694346646145e-06, 'n_estimators': 476, 'criterion': 'absolute_error', 'min_samples_split': 5, 'min_samples_leaf': 8, 'min_weight_fraction_leaf': 0.195991292416109, 'min_impurity_decrease': 0.3843008870074924, 'max_features': 0.04840705769934864, 'subsample': 0.6114751198303713, 'dropout_rate': 0.8701487813438654, 'ccp_alpha': 0.005021272534441401}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:55:19,311][0m Trial 17 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 9.91611547437367e-05, 'n_estimators': 234, 'criterion': 'friedman_mse', 'min_samples_split': 3, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.08488081258866664, 'min_impurity_decrease': 0.6324895614341366, 'max_features': 0.43643806667992185, 'subsample': 0.2746445209337454, 'dropout_rate': 0.8489744619345552, 'ccp_alpha': 1.337519176708228}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:56:05,165][0m Trial 18 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 7.322187802177845e-05, 'n_estimators': 490, 'criterion': 'squared_error', 'min_samples_split': 8, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.3020386381518868, 'min_impurity_decrease': 0.2180178828191373, 'max_features': 0.9958951672898105, 'subsample': 0.7885409248998796, 'dropout_rate': 0.6028852012821055, 'ccp_alpha': 2.488987224260927}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:56:12,965][0m Trial 19 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 1.5214291765409418e-06, 'n_estimators': 501, 'criterion': 'absolute_error', 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.18925826787572345, 'min_impurity_decrease': 0.03738650788252729, 'max_features': 0.013351144461995701, 'subsample': 0.5917593577878835, 'dropout_rate': 0.9962682676602284, 'ccp_alpha': 3.967204775309828}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:56:20,347][0m Trial 20 finished with value: 0.6628528132859424 and parameters: {'loss': 'coxph', 'learning_rate': 0.0004288368015725016, 'n_estimators': 167, 'criterion': 'friedman_mse', 'min_samples_split': 3, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.06660376733655582, 'min_impurity_decrease': 0.7595309403082307, 'max_features': 0.5621408032685706, 'subsample': 0.16462918846250008, 'dropout_rate': 0.15484742800273943, 'ccp_alpha': 1.3284663313842877}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 11:56:29,226][0m Trial 21 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.00013967191729078753, 'n_estimators': 142, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.3258994316708929, 'min_impurity_decrease': 0.7661849016510471, 'max_features': 0.5999183020884536, 'subsample': 0.13876961786955153, 'dropout_rate': 0.02049744042309859, 'ccp_alpha': 1.3276919829895855}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 11:56:31,457][0m Trial 22 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.021095097854336966, 'n_estimators': 185, 'criterion': 'friedman_mse', 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.055191703533986364, 'min_impurity_decrease': 0.0028441460166199195, 'max_features': 0.33118566112241243, 'subsample': 0.38621782013578554, 'dropout_rate': 0.9973682209955614, 'ccp_alpha': 3.9635515924840554}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 11:58:41,386][0m Trial 23 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0005026136407677268, 'n_estimators': 645, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.17955784392655652, 'min_impurity_decrease': 0.1095216444889009, 'max_features': 0.5307892284034779, 'subsample': 0.5594300275190993, 'dropout_rate': 0.18942926882089575, 'ccp_alpha': 3.9704572954782433}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 11:58:50,219][0m Trial 24 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0006008967998794379, 'n_estimators': 142, 'criterion': 'friedman_mse', 'min_samples_split': 7, 'min_samples_leaf': 7, 'min_weight_fraction_leaf': 0.3372622914617982, 'min_impurity_decrease': 0.8320353150047461, 'max_features': 0.6800594460685249, 'subsample': 0.10595682342683965, 'dropout_rate': 0.003587803601168116, 'ccp_alpha': 1.7152090059246277}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 11:59:03,663][0m Trial 25 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.016899388545358218, 'n_estimators': 198, 'criterion': 'friedman_mse', 'min_samples_split': 3, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.06839436834113632, 'min_impurity_decrease': 0.23418808442317646, 'max_features': 0.34848269579294167, 'subsample': 0.34509977044699947, 'dropout_rate': 0.14034268510909237, 'ccp_alpha': 3.459994571965683}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 11:59:29,023][0m Trial 26 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 0.004058534375931726, 'n_estimators': 285, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.0024462644526875438, 'min_impurity_decrease': 0.15283038842367766, 'max_features': 0.5138563818406267, 'subsample': 0.5716219171677253, 'dropout_rate': 0.23774236410046523, 'ccp_alpha': 2.5975654343817496}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 11:59:32,772][0m Trial 27 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0011131194339209641, 'n_estimators': 109, 'criterion': 'friedman_mse', 'min_samples_split': 7, 'min_samples_leaf': 7, 'min_weight_fraction_leaf': 0.2740320697262227, 'min_impurity_decrease': 0.8005392455546047, 'max_features': 0.6881471733783902, 'subsample': 0.05870213525728775, 'dropout_rate': 0.018356706853434004, 'ccp_alpha': 1.6630691630280623}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 11:59:50,980][0m Trial 28 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0751293816372862, 'n_estimators': 208, 'criterion': 'friedman_mse', 'min_samples_split': 3, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.10020610936598004, 'min_impurity_decrease': 0.26747146638756714, 'max_features': 0.3653468257519876, 'subsample': 0.1798470855572366, 'dropout_rate': 0.13135901798466154, 'ccp_alpha': 3.318100737570372}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:00:00,966][0m Trial 29 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.01854815438219262, 'n_estimators': 168, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.051157171770253466, 'min_impurity_decrease': 0.990223187508293, 'max_features': 0.22520201600309525, 'subsample': 0.3893858455710368, 'dropout_rate': 0.2542700800912744, 'ccp_alpha': 2.9108133881039993}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:00:03,344][0m Trial 30 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.007687092538313822, 'n_estimators': 112, 'criterion': 'friedman_mse', 'min_samples_split': 7, 'min_samples_leaf': 9, 'min_weight_fraction_leaf': 0.26775782181053176, 'min_impurity_decrease': 0.5619254122524137, 'max_features': 0.7458236327016539, 'subsample': 0.02268077313467534, 'dropout_rate': 0.5069672492352417, 'ccp_alpha': 0.7232663402300017}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:00:08,305][0m Trial 31 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.06046419376356758, 'n_estimators': 122, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 7, 'min_weight_fraction_leaf': 0.11203165743048235, 'min_impurity_decrease': 0.7389019319614691, 'max_features': 0.3961338947525501, 'subsample': 0.16576111237906832, 'dropout_rate': 0.10043993141808344, 'ccp_alpha': 2.2307448173402973}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:00:15,582][0m Trial 32 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0902248644307106, 'n_estimators': 151, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.040454126386737434, 'min_impurity_decrease': 0.91100788261656, 'max_features': 0.21965272057639568, 'subsample': 0.20974260281812257, 'dropout_rate': 0.25510010565989716, 'ccp_alpha': 2.9612284222845062}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:00:22,890][0m Trial 33 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.009376270848361318, 'n_estimators': 162, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 9, 'min_weight_fraction_leaf': 0.1464791373033369, 'min_impurity_decrease': 0.99261553218012, 'max_features': 0.8681087229290749, 'subsample': 0.023957020307183545, 'dropout_rate': 0.4576167429466943, 'ccp_alpha': 0.7897178957579314}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:00:27,784][0m Trial 34 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.04353520357365807, 'n_estimators': 119, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 9, 'min_weight_fraction_leaf': 0.35417879213756776, 'min_impurity_decrease': 0.7274882648071075, 'max_features': 0.7575649032387394, 'subsample': 0.11164213681411406, 'dropout_rate': 0.49928619821385095, 'ccp_alpha': 2.1957768156857185}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:00:38,225][0m Trial 35 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 0.0685482515789566, 'n_estimators': 157, 'criterion': 'squared_error', 'min_samples_split': 4, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.030853134657461354, 'min_impurity_decrease': 0.8727093679516809, 'max_features': 0.16488395539599057, 'subsample': 0.18835138213636227, 'dropout_rate': 0.30806007917620903, 'ccp_alpha': 2.9058607210542733}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:01:40,648][0m Trial 36 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 1.3460833488653255e-05, 'n_estimators': 390, 'criterion': 'absolute_error', 'min_samples_split': 8, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.36932879830544907, 'min_impurity_decrease': 0.06483629761682494, 'max_features': 0.5638841419406969, 'subsample': 0.43207522327581527, 'dropout_rate': 0.062347777490024854, 'ccp_alpha': 3.7350187610745715}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:01:42,609][0m Trial 37 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 0.0001465055928183234, 'n_estimators': 186, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.38458701502613307, 'min_impurity_decrease': 0.7767534285658071, 'max_features': 0.2981233704788992, 'subsample': 0.35820933121321274, 'dropout_rate': 0.9267839324749523, 'ccp_alpha': 4.483715027229486}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:01:55,964][0m Trial 38 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0272293093909146, 'n_estimators': 264, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.06960292533660511, 'min_impurity_decrease': 0.5571950345783793, 'max_features': 0.6431750133222928, 'subsample': 0.27498288526467246, 'dropout_rate': 0.6773140728843244, 'ccp_alpha': 3.700631204969375}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:01:58,114][0m Trial 39 finished with value: -0.31594206807582836 and parameters: {'loss': 'squared', 'learning_rate': 0.003279687589874083, 'n_estimators': 137, 'criterion': 'friedman_mse', 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.23265606571616151, 'min_impurity_decrease': 0.002409894474382307, 'max_features': 0.4732487064925093, 'subsample': 0.11850589644574858, 'dropout_rate': 0.8158659857671908, 'ccp_alpha': 1.460437229795021}. Best is trial 20 with value: 0.6628528132859424.[0m
