No protocol specified
[32m[I 2022-04-13 11:43:56,700][0m A new study created in memory with name: no-name-5c911470-f42c-4c1b-99d7-65d995f09833[0m
[32m[I 2022-04-13 11:44:01,737][0m Trial 0 finished with value: 0.65 and parameters: {'n_estimators': 435, 'min_samples_split': 0.21936300221634492, 'min_samples_leaf': 0.4994954157833727, 'min_weight_fraction_leaf': 0.15690614316461315, 'max_features': 0.8877944393880859, 'bootstrap': True, 'max_samples': 0.6811184862685485, 'oob_score': False}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:44:07,817][0m Trial 1 finished with value: 0.65 and parameters: {'n_estimators': 693, 'min_samples_split': 0.4492820013190625, 'min_samples_leaf': 0.0015443495044302007, 'min_weight_fraction_leaf': 0.26673235808762175, 'max_features': 0.06981630153553997, 'bootstrap': True, 'max_samples': 0.34644519063990975, 'oob_score': False}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 11:44:11,151][0m Trial 2 finished with value: 0.8553283650222816 and parameters: {'n_estimators': 224, 'min_samples_split': 0.2672289219040661, 'min_samples_leaf': 0.1168810488884352, 'min_weight_fraction_leaf': 0.040338838874058924, 'max_features': 0.14071582106820024, 'bootstrap': False, 'max_samples': 0.7427574313021608}. Best is trial 2 with value: 0.8553283650222816.[0m
[32m[I 2022-04-13 11:44:16,427][0m Trial 3 finished with value: 0.8023288654552788 and parameters: {'n_estimators': 566, 'min_samples_split': 0.3334228853469608, 'min_samples_leaf': 0.19272101684926207, 'min_weight_fraction_leaf': 0.36645967682301533, 'max_features': 0.4904834632861357, 'bootstrap': False, 'max_samples': 0.4100490554048327}. Best is trial 2 with value: 0.8553283650222816.[0m
[32m[I 2022-04-13 11:44:21,974][0m Trial 4 finished with value: 0.65 and parameters: {'n_estimators': 505, 'min_samples_split': 0.3203134465226395, 'min_samples_leaf': 0.06371580376660156, 'min_weight_fraction_leaf': 0.029186497715094406, 'max_features': 0.513505444708399, 'bootstrap': True, 'max_samples': 0.0331317407236178, 'oob_score': False}. Best is trial 2 with value: 0.8553283650222816.[0m
[32m[I 2022-04-13 11:44:25,661][0m Trial 5 finished with value: 0.6999945982466075 and parameters: {'n_estimators': 281, 'min_samples_split': 0.09360983954347311, 'min_samples_leaf': 0.47533276898062155, 'min_weight_fraction_leaf': 0.2454579777823367, 'max_features': 0.8773787455298538, 'bootstrap': False, 'max_samples': 0.6118374590177472}. Best is trial 2 with value: 0.8553283650222816.[0m
[32m[I 2022-04-13 11:44:29,235][0m Trial 6 finished with value: 0.7989169503270925 and parameters: {'n_estimators': 370, 'min_samples_split': 0.1060654592884467, 'min_samples_leaf': 0.23762664856423144, 'min_weight_fraction_leaf': 0.36163076846137976, 'max_features': 0.06496415478055773, 'bootstrap': False, 'max_samples': 0.12118901359058343}. Best is trial 2 with value: 0.8553283650222816.[0m
[32m[I 2022-04-13 11:44:34,580][0m Trial 7 finished with value: 0.65 and parameters: {'n_estimators': 319, 'min_samples_split': 0.18690463540981872, 'min_samples_leaf': 0.13624322966791236, 'min_weight_fraction_leaf': 0.3014655478195025, 'max_features': 0.6994770262692407, 'bootstrap': True, 'max_samples': 0.14566641987103213, 'oob_score': True}. Best is trial 2 with value: 0.8553283650222816.[0m
[32m[I 2022-04-13 11:44:38,443][0m Trial 8 finished with value: 0.8552056375472151 and parameters: {'n_estimators': 219, 'min_samples_split': 0.1028838438007125, 'min_samples_leaf': 0.13891265760581717, 'min_weight_fraction_leaf': 0.11737836168823107, 'max_features': 0.5076682902807689, 'bootstrap': True, 'max_samples': 0.9256903779563983, 'oob_score': False}. Best is trial 2 with value: 0.8553283650222816.[0m
[32m[I 2022-04-13 11:44:41,116][0m Trial 9 finished with value: 0.65 and parameters: {'n_estimators': 156, 'min_samples_split': 0.11967112576767126, 'min_samples_leaf': 0.38382990188407673, 'min_weight_fraction_leaf': 0.3605260493100465, 'max_features': 0.026783710194208443, 'bootstrap': True, 'max_samples': 0.3508604617737471, 'oob_score': False}. Best is trial 2 with value: 0.8553283650222816.[0m
[32m[I 2022-04-13 11:44:43,523][0m Trial 10 finished with value: 0.8115717940268832 and parameters: {'n_estimators': 116, 'min_samples_split': 0.4195189145843214, 'min_samples_leaf': 0.3297147715402893, 'min_weight_fraction_leaf': 0.004075881856531148, 'max_features': 0.2763482461102181, 'bootstrap': False, 'max_samples': 0.9960567039716907}. Best is trial 2 with value: 0.8553283650222816.[0m
[32m[I 2022-04-13 11:44:47,465][0m Trial 11 finished with value: 0.8601964520290297 and parameters: {'n_estimators': 198, 'min_samples_split': 0.031568565836460366, 'min_samples_leaf': 0.12635656295447836, 'min_weight_fraction_leaf': 0.11933733644307197, 'max_features': 0.3640029086650638, 'bootstrap': False, 'max_samples': 0.9146944398815222}. Best is trial 11 with value: 0.8601964520290297.[0m
[32m[I 2022-04-13 11:44:51,881][0m Trial 12 finished with value: 0.8644736096648635 and parameters: {'n_estimators': 197, 'min_samples_split': 0.015825896864579702, 'min_samples_leaf': 0.09879043073791932, 'min_weight_fraction_leaf': 0.11144501072855242, 'max_features': 0.2744889732224586, 'bootstrap': False, 'max_samples': 0.8080191549046518}. Best is trial 12 with value: 0.8644736096648635.[0m
