Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
CoxPH $_{LogRank}$,1.0,1.0,0.7064 ± 0.0446,0.1557 ± 0.0182,0.7869 ± 0.0486,0.3424 ± 0.1618,0.6581,0.1272,0.7164,0.9636
CoxPH $_{LogRank}$,1.0,0.75,0.6183 ± 0.0698,0.2607 ± 0.0713,0.7674 ± 0.0430,0.3646 ± 0.1685,0.6594,0.1956,0.7491,0.5218
CoxPH $_{LogRank}$,1.0,0.5,0.4833 ± 0.1539,0.4519 ± 0.1497,0.7393 ± 0.0720,0.2809 ± 0.2305,0.6306,0.5031,0.7327,0.0837
CoxPH $_{LogRank}$,1.0,0.25,0.4991 ± 0.1851,0.8316 ± 0.1875,0.7576 ± 0.0826,0.0307 ± 0.0506,0.6143,1.6579,0.6805,0.0000
CoxPH $_{LogRank}$,0.75,1.0,0.7064 ± 0.0446,0.1557 ± 0.0182,0.7869 ± 0.0486,0.3424 ± 0.1618,0.6581,0.1272,0.7164,0.9636
CoxPH $_{LogRank}$,0.75,0.75,0.6191 ± 0.0844,0.2443 ± 0.0669,0.7684 ± 0.0405,0.4444 ± 0.2448,0.6585,0.1925,0.7150,0.2128
CoxPH $_{LogRank}$,0.75,0.5,0.5279 ± 0.1470,0.4602 ± 0.2024,0.7535 ± 0.0746,0.4126 ± 0.2468,0.7696,0.4872,0.7147,0.0004
CoxPH $_{LogRank}$,0.75,0.25,0.5526 ± 0.1878,0.9077 ± 0.1768,0.7365 ± 0.0724,0.0333 ± 0.0510,0.7716,1.1608,0.6706,0.0000
CoxPH $_{LogRank}$,0.5,1.0,0.7037 ± 0.0473,0.1555 ± 0.0181,0.7855 ± 0.0510,0.3495 ± 0.1685,0.6634,0.1271,0.7179,0.8656
CoxPH $_{LogRank}$,0.5,0.75,0.6346 ± 0.0622,0.2393 ± 0.0525,0.7621 ± 0.0545,0.3534 ± 0.1893,0.6460,0.1939,0.7118,0.3104
CoxPH $_{LogRank}$,0.5,0.5,0.5823 ± 0.1113,0.4090 ± 0.1106,0.7753 ± 0.0621,0.2573 ± 0.1960,0.6323,0.4144,0.7279,0.0004
CoxPH $_{LogRank}$,0.5,0.25,0.5890 ± 0.1573,0.8359 ± 0.1051,0.7471 ± 0.0626,0.0341 ± 0.0506,0.5944,1.0066,0.6747,0.0000
CoxPH $_{LogRank}$,0.25,1.0,0.7021 ± 0.0649,0.1629 ± 0.0201,0.7806 ± 0.0565,0.4325 ± 0.0621,0.6593,0.1421,0.7162,0.0725
CoxPH $_{LogRank}$,0.25,0.75,0.6598 ± 0.0475,0.2317 ± 0.0304,0.7556 ± 0.0598,0.4346 ± 0.1150,0.6542,0.2322,0.7129,0.0046
CoxPH $_{LogRank}$,0.25,0.5,0.6428 ± 0.0615,0.3582 ± 0.0259,0.7772 ± 0.0769,0.2839 ± 0.1340,0.6314,0.4314,0.7115,0.0003
CoxPH $_{LogRank}$,0.25,0.25,0.6519 ± 0.0850,0.7296 ± 0.0640,0.7801 ± 0.0822,0.0535 ± 0.0728,0.6030,0.9690,0.6262,0.0000
CoxPH ,1.0,1.0,0.7064 ± 0.0446,0.1557 ± 0.0183,0.7869 ± 0.0486,0.3424 ± 0.1618,0.6581,0.1271,0.7164,0.9731
CoxPH ,1.0,0.75,0.6200 ± 0.0698,0.2608 ± 0.0714,0.7684 ± 0.0442,0.3680 ± 0.1708,0.6594,0.1955,0.7491,0.5205
CoxPH ,1.0,0.5,0.4850 ± 0.1552,0.4520 ± 0.1497,0.7396 ± 0.0717,0.2816 ± 0.2301,0.6312,0.5029,0.7330,0.0837
CoxPH ,1.0,0.25,0.4984 ± 0.1843,0.8314 ± 0.1873,0.7568 ± 0.0837,0.0307 ± 0.0506,0.6143,1.6566,0.6805,0.0000
CoxPH ,0.75,1.0,0.7064 ± 0.0446,0.1557 ± 0.0183,0.7869 ± 0.0486,0.3424 ± 0.1618,0.6581,0.1271,0.7164,0.9731
CoxPH ,0.75,0.75,0.6191 ± 0.0844,0.2444 ± 0.0669,0.7684 ± 0.0405,0.4479 ± 0.2456,0.6585,0.1925,0.7150,0.2128
CoxPH ,0.75,0.5,0.5282 ± 0.1474,0.4602 ± 0.2023,0.7526 ± 0.0739,0.4126 ± 0.2468,0.7696,0.4869,0.7147,0.0004
CoxPH ,0.75,0.25,0.5517 ± 0.1874,0.9076 ± 0.1766,0.7342 ± 0.0746,0.0333 ± 0.0510,0.7716,1.1599,0.6706,0.0000
CoxPH ,0.5,1.0,0.7021 ± 0.0462,0.1556 ± 0.0181,0.7836 ± 0.0491,0.3522 ± 0.1675,0.6634,0.1270,0.7179,0.9031
CoxPH ,0.5,0.75,0.6333 ± 0.0617,0.2393 ± 0.0526,0.7601 ± 0.0548,0.3534 ± 0.1893,0.6460,0.1938,0.7118,0.3104
CoxPH ,0.5,0.5,0.5812 ± 0.1112,0.4091 ± 0.1105,0.7751 ± 0.0618,0.2559 ± 0.1968,0.6300,0.4141,0.7258,0.0004
CoxPH ,0.5,0.25,0.5892 ± 0.1582,0.8359 ± 0.1051,0.7474 ± 0.0624,0.0341 ± 0.0506,0.5944,1.0059,0.6747,0.0000
CoxPH ,0.25,1.0,0.7021 ± 0.0649,0.1630 ± 0.0202,0.7806 ± 0.0565,0.4325 ± 0.0621,0.6593,0.1420,0.7162,0.0706
CoxPH ,0.25,0.75,0.6598 ± 0.0475,0.2317 ± 0.0305,0.7556 ± 0.0598,0.4346 ± 0.1150,0.6556,0.2320,0.7129,0.0046
CoxPH ,0.25,0.5,0.6428 ± 0.0615,0.3583 ± 0.0259,0.7772 ± 0.0769,0.2839 ± 0.1340,0.6327,0.4310,0.7125,0.0003
CoxPH ,0.25,0.25,0.6519 ± 0.0850,0.7297 ± 0.0641,0.7801 ± 0.0822,0.0535 ± 0.0728,0.6030,0.9685,0.6262,0.0000
SurvivalTree $_{LogRank}$,1.0,1.0,0.7049 ± 0.0290,0.1651 ± 0.0151,0.7783 ± 0.0458,0.3539 ± 0.1376,0.5960,0.1395,0.6652,0.3740
SurvivalTree $_{LogRank}$,1.0,0.75,0.6210 ± 0.0640,0.2531 ± 0.0561,0.7619 ± 0.0632,0.4406 ± 0.1987,0.6041,0.2163,0.6812,0.4375
SurvivalTree $_{LogRank}$,1.0,0.5,0.5219 ± 0.1766,0.2940 ± 0.0727,0.7793 ± 0.0742,0.2159 ± 0.1135,0.5654,0.5118,0.7079,0.5770
SurvivalTree $_{LogRank}$,1.0,0.25,0.4642 ± 0.1364,0.2837 ± 0.1550,0.7883 ± 0.1176,0.1949 ± 0.2069,0.5993,0.1675,0.7092,0.0000
SurvivalTree $_{LogRank}$,0.75,1.0,0.7049 ± 0.0290,0.1651 ± 0.0151,0.7783 ± 0.0458,0.3539 ± 0.1376,0.5960,0.1395,0.6652,0.3740
SurvivalTree $_{LogRank}$,0.75,0.75,0.6276 ± 0.0871,0.2398 ± 0.0558,0.7610 ± 0.0705,0.4716 ± 0.2051,0.5948,0.2087,0.6818,0.7666
SurvivalTree $_{LogRank}$,0.75,0.5,0.5466 ± 0.1708,0.3299 ± 0.0587,0.7738 ± 0.0659,0.3003 ± 0.0739,0.7524,0.3047,0.7173,0.0071
SurvivalTree $_{LogRank}$,0.75,0.25,0.5162 ± 0.1333,0.2396 ± 0.0387,0.7953 ± 0.1094,0.0880 ± 0.0819,0.7711,0.1552,0.7626,0.0000
SurvivalTree $_{LogRank}$,0.5,1.0,0.7049 ± 0.0290,0.1651 ± 0.0151,0.7783 ± 0.0458,0.3539 ± 0.1376,0.5960,0.1395,0.6652,0.3740
SurvivalTree $_{LogRank}$,0.5,0.75,0.6428 ± 0.0623,0.2399 ± 0.0470,0.7721 ± 0.0558,0.3981 ± 0.1495,0.6100,0.2095,0.6821,0.7666
SurvivalTree $_{LogRank}$,0.5,0.5,0.5825 ± 0.1477,0.3395 ± 0.0553,0.7722 ± 0.0684,0.2385 ± 0.0726,0.6023,0.2998,0.7187,0.0050
SurvivalTree $_{LogRank}$,0.5,0.25,0.4518 ± 0.0687,0.2377 ± 0.0410,0.7989 ± 0.1129,0.0938 ± 0.0869,0.5889,0.1552,0.7626,0.0000
SurvivalTree $_{LogRank}$,0.25,1.0,0.6894 ± 0.0599,0.1799 ± 0.0197,0.7696 ± 0.0514,0.5210 ± 0.2136,0.5951,0.1788,0.6786,0.2536
SurvivalTree $_{LogRank}$,0.25,0.75,0.6688 ± 0.0516,0.2376 ± 0.0210,0.7835 ± 0.0552,0.4670 ± 0.1485,0.6057,0.2470,0.6997,0.0671
SurvivalTree $_{LogRank}$,0.25,0.5,0.6058 ± 0.0791,0.3465 ± 0.0519,0.7811 ± 0.0729,0.2594 ± 0.1238,0.5895,0.3199,0.7265,0.0150
SurvivalTree $_{LogRank}$,0.25,0.25,0.5513 ± 0.0761,0.2394 ± 0.0390,0.8037 ± 0.1255,0.1662 ± 0.0875,0.5689,0.1455,0.7543,0.0000
SurvivalTree ,1.0,1.0,0.7049 ± 0.0290,0.1651 ± 0.0151,0.7783 ± 0.0458,0.3539 ± 0.1376,0.5960,0.1395,0.6652,0.3740
SurvivalTree ,1.0,0.75,0.6233 ± 0.0636,0.2541 ± 0.0557,0.7594 ± 0.0616,0.4341 ± 0.1877,0.6041,0.2163,0.6812,0.4375
SurvivalTree ,1.0,0.5,0.5219 ± 0.1766,0.2941 ± 0.0727,0.7793 ± 0.0742,0.2116 ± 0.1162,0.5654,0.5118,0.7079,0.5770
SurvivalTree ,1.0,0.25,0.4642 ± 0.1364,0.2837 ± 0.1550,0.7883 ± 0.1176,0.1949 ± 0.2069,0.5993,0.1675,0.7092,0.0000
SurvivalTree ,0.75,1.0,0.7049 ± 0.0290,0.1651 ± 0.0151,0.7783 ± 0.0458,0.3539 ± 0.1376,0.5960,0.1395,0.6652,0.3740
SurvivalTree ,0.75,0.75,0.6223 ± 0.0866,0.2398 ± 0.0558,0.7582 ± 0.0681,0.4810 ± 0.2075,0.5948,0.2087,0.6818,0.7666
SurvivalTree ,0.75,0.5,0.5466 ± 0.1708,0.3299 ± 0.0588,0.7738 ± 0.0659,0.2960 ± 0.0810,0.7524,0.3047,0.7173,0.0071
SurvivalTree ,0.75,0.25,0.5162 ± 0.1333,0.2396 ± 0.0387,0.7953 ± 0.1094,0.0880 ± 0.0819,0.7711,0.1552,0.7626,0.0000
SurvivalTree ,0.5,1.0,0.7049 ± 0.0290,0.1651 ± 0.0151,0.7783 ± 0.0458,0.3539 ± 0.1376,0.5960,0.1395,0.6652,0.3740
SurvivalTree ,0.5,0.75,0.6400 ± 0.0621,0.2400 ± 0.0470,0.7692 ± 0.0538,0.4069 ± 0.1505,0.6100,0.2095,0.6821,0.7666
SurvivalTree ,0.5,0.5,0.5825 ± 0.1477,0.3396 ± 0.0554,0.7722 ± 0.0684,0.2344 ± 0.0750,0.6023,0.2998,0.7187,0.0050
SurvivalTree ,0.5,0.25,0.4518 ± 0.0687,0.2377 ± 0.0410,0.7989 ± 0.1129,0.0938 ± 0.0869,0.5889,0.1552,0.7626,0.0000
SurvivalTree ,0.25,1.0,0.6894 ± 0.0599,0.1799 ± 0.0197,0.7696 ± 0.0514,0.5210 ± 0.2136,0.5951,0.1788,0.6786,0.2536
SurvivalTree ,0.25,0.75,0.6688 ± 0.0516,0.2376 ± 0.0210,0.7835 ± 0.0552,0.4670 ± 0.1485,0.6057,0.2470,0.6997,0.0671
SurvivalTree ,0.25,0.5,0.6058 ± 0.0791,0.3465 ± 0.0519,0.7811 ± 0.0729,0.2547 ± 0.1256,0.5895,0.3199,0.7265,0.0150
SurvivalTree ,0.25,0.25,0.5513 ± 0.0761,0.2394 ± 0.0390,0.8037 ± 0.1255,0.1662 ± 0.0875,0.5689,0.1455,0.7543,0.0000
RandomSurvivalForest $_{LogRank}$,1.0,1.0,0.7411 ± 0.0706,0.1572 ± 0.0175,0.7689 ± 0.0878,0.5063 ± 0.2820,0.6157,0.1329,0.7218,0.4919
RandomSurvivalForest $_{LogRank}$,1.0,0.75,0.6623 ± 0.0712,0.2637 ± 0.0502,0.7489 ± 0.0892,0.5164 ± 0.2836,0.6412,0.2082,0.7249,0.8377
RandomSurvivalForest $_{LogRank}$,1.0,0.5,0.5085 ± 0.1537,0.3033 ± 0.0616,0.7217 ± 0.1016,0.3572 ± 0.2664,0.6238,0.4657,0.7237,0.9169
RandomSurvivalForest $_{LogRank}$,1.0,0.25,0.4498 ± 0.0971,0.2686 ± 0.0997,0.7580 ± 0.1444,0.0645 ± 0.1036,0.6209,0.1528,0.7346,0.0000
RandomSurvivalForest $_{LogRank}$,0.75,1.0,0.7395 ± 0.0719,0.1572 ± 0.0175,0.7689 ± 0.0878,0.5063 ± 0.2820,0.6144,0.1329,0.7218,0.4919
RandomSurvivalForest $_{LogRank}$,0.75,0.75,0.6367 ± 0.0803,0.2427 ± 0.0487,0.7503 ± 0.0985,0.4091 ± 0.2673,0.6617,0.1901,0.7342,0.9775
RandomSurvivalForest $_{LogRank}$,0.75,0.5,0.5215 ± 0.1255,0.3297 ± 0.0821,0.7346 ± 0.1220,0.3712 ± 0.2500,0.7555,0.2863,0.7506,0.0018
RandomSurvivalForest $_{LogRank}$,0.75,0.25,0.5249 ± 0.1072,0.2592 ± 0.0245,0.7312 ± 0.1600,0.0225 ± 0.0380,0.7792,0.1509,0.7379,0.0000
RandomSurvivalForest $_{LogRank}$,0.5,1.0,0.7314 ± 0.0745,0.1579 ± 0.0180,0.7670 ± 0.0933,0.4977 ± 0.2753,0.6413,0.1332,0.7291,0.4868
RandomSurvivalForest $_{LogRank}$,0.5,0.75,0.6531 ± 0.0380,0.2342 ± 0.0379,0.7536 ± 0.0864,0.4260 ± 0.2105,0.6549,0.1896,0.7340,0.8785
RandomSurvivalForest $_{LogRank}$,0.5,0.5,0.5499 ± 0.0718,0.3282 ± 0.0842,0.7572 ± 0.1079,0.3365 ± 0.2735,0.6134,0.2879,0.7529,0.0017
RandomSurvivalForest $_{LogRank}$,0.5,0.25,0.5422 ± 0.1143,0.2615 ± 0.0202,0.7346 ± 0.1599,0.0349 ± 0.0596,0.6034,0.1509,0.7379,0.0000
RandomSurvivalForest $_{LogRank}$,0.25,1.0,0.7210 ± 0.0819,0.1698 ± 0.0186,0.7751 ± 0.0879,0.5254 ± 0.1587,0.6421,0.1650,0.7446,0.2159
RandomSurvivalForest $_{LogRank}$,0.25,0.75,0.6800 ± 0.0611,0.2367 ± 0.0319,0.7530 ± 0.1076,0.4891 ± 0.1760,0.6322,0.2377,0.7413,0.0201
RandomSurvivalForest $_{LogRank}$,0.25,0.5,0.6262 ± 0.0759,0.3142 ± 0.0696,0.7482 ± 0.1158,0.1960 ± 0.1148,0.6308,0.2943,0.7748,0.0035
RandomSurvivalForest $_{LogRank}$,0.25,0.25,0.5564 ± 0.0556,0.2638 ± 0.0118,0.7460 ± 0.1560,0.0403 ± 0.0634,0.5927,0.1398,0.7282,0.0000
RandomSurvivalForest ,1.0,1.0,0.7206 ± 0.0649,0.1582 ± 0.0128,0.7570 ± 0.0858,0.5138 ± 0.2584,0.6489,0.1305,0.7361,0.5623
RandomSurvivalForest ,1.0,0.75,0.6614 ± 0.0718,0.2592 ± 0.0397,0.7387 ± 0.0824,0.5330 ± 0.2708,0.6357,0.2019,0.7427,0.9448
RandomSurvivalForest ,1.0,0.5,0.4701 ± 0.1653,0.3030 ± 0.0644,0.7174 ± 0.1015,0.4005 ± 0.3099,0.6324,0.4467,0.7390,0.8788
RandomSurvivalForest ,1.0,0.25,0.4580 ± 0.1247,0.2790 ± 0.1059,0.7366 ± 0.1483,0.0692 ± 0.1096,0.6408,0.1610,0.6963,0.0000
RandomSurvivalForest ,0.75,1.0,0.7186 ± 0.0663,0.1582 ± 0.0128,0.7570 ± 0.0858,0.5138 ± 0.2584,0.6516,0.1305,0.7361,0.5623
RandomSurvivalForest ,0.75,0.75,0.6234 ± 0.0916,0.2429 ± 0.0413,0.7271 ± 0.0845,0.4408 ± 0.2367,0.6553,0.1893,0.7455,0.9577
RandomSurvivalForest ,0.75,0.5,0.5452 ± 0.1375,0.3230 ± 0.0791,0.7339 ± 0.1207,0.3778 ± 0.2680,0.7961,0.2810,0.7524,0.0011
RandomSurvivalForest ,0.75,0.25,0.4913 ± 0.1026,0.2685 ± 0.0221,0.6924 ± 0.1581,0.0205 ± 0.0343,0.7827,0.1610,0.7208,0.0000
RandomSurvivalForest ,0.5,1.0,0.7149 ± 0.0591,0.1582 ± 0.0129,0.7595 ± 0.0843,0.5143 ± 0.2574,0.6488,0.1315,0.7321,0.5377
RandomSurvivalForest ,0.5,0.75,0.6602 ± 0.0546,0.2328 ± 0.0315,0.7364 ± 0.0847,0.4762 ± 0.2344,0.6629,0.1907,0.7416,0.9525
RandomSurvivalForest ,0.5,0.5,0.5562 ± 0.0998,0.3230 ± 0.0839,0.7476 ± 0.1098,0.3245 ± 0.2322,0.6780,0.2860,0.7525,0.0011
RandomSurvivalForest ,0.5,0.25,0.5529 ± 0.1525,0.2745 ± 0.0122,0.6967 ± 0.1537,0.0244 ± 0.0403,0.6101,0.1610,0.7208,0.0000
RandomSurvivalForest ,0.25,1.0,0.7228 ± 0.0566,0.1663 ± 0.0123,0.7755 ± 0.0867,0.5124 ± 0.1562,0.6651,0.1645,0.7516,0.2285
RandomSurvivalForest ,0.25,0.75,0.6693 ± 0.0601,0.2324 ± 0.0224,0.7339 ± 0.1079,0.5092 ± 0.1567,0.6599,0.2299,0.7532,0.0199
