Model,T_max,Uncensored Reduction,5Fold - c-index,5Fold - iBrier,5Fold - AUROC,5Fold - LogRank,Hold-out - c-index,Hold-out - iBrier,Hold-out - AUROC,Hold-out - LogRank
CoxPH $_{LogRank}$,1.0,1.0,0.8260 ± 0.0069,0.1409 ± 0.0088,0.8611 ± 0.0099,0.1447 ± 0.0415,0.8269,0.1423,0.8599,0.0495
CoxPH $_{LogRank}$,1.0,0.75,0.7778 ± 0.0108,0.2287 ± 0.0144,0.8676 ± 0.0093,0.0000 ± 0.0000,0.7748,0.2306,0.8646,0.0000
CoxPH $_{LogRank}$,1.0,0.5,0.7213 ± 0.0131,0.4200 ± 0.0233,0.8712 ± 0.0086,0.0000 ± 0.0000,0.7164,0.4181,0.8700,0.0000
CoxPH $_{LogRank}$,1.0,0.25,0.6822 ± 0.0150,0.6905 ± 0.0250,0.8783 ± 0.0088,0.0000 ± 0.0000,0.6808,0.6749,0.8800,0.0000
CoxPH $_{LogRank}$,0.75,1.0,0.8292 ± 0.0066,0.1417 ± 0.0092,0.8619 ± 0.0102,0.0192 ± 0.0102,0.8325,0.1429,0.8613,0.0008
CoxPH $_{LogRank}$,0.75,0.75,0.7863 ± 0.0097,0.2258 ± 0.0151,0.8687 ± 0.0096,0.0000 ± 0.0000,0.7881,0.2264,0.8665,0.0000
CoxPH $_{LogRank}$,0.75,0.5,0.7325 ± 0.0123,0.4118 ± 0.0240,0.8725 ± 0.0088,0.0000 ± 0.0000,0.7316,0.4087,0.8714,0.0000
CoxPH $_{LogRank}$,0.75,0.25,0.6942 ± 0.0147,0.6749 ± 0.0259,0.8796 ± 0.0089,0.0000 ± 0.0000,0.6914,0.6584,0.8812,0.0000
CoxPH $_{LogRank}$,0.5,1.0,0.8386 ± 0.0064,0.1433 ± 0.0097,0.8675 ± 0.0100,0.0008 ± 0.0011,0.8385,0.1467,0.8644,0.0000
CoxPH $_{LogRank}$,0.5,0.75,0.8052 ± 0.0099,0.2140 ± 0.0142,0.8744 ± 0.0093,0.0000 ± 0.0000,0.8015,0.2210,0.8708,0.0000
CoxPH $_{LogRank}$,0.5,0.5,0.7591 ± 0.0123,0.3741 ± 0.0178,0.8778 ± 0.0081,0.0000 ± 0.0000,0.7522,0.3817,0.8764,0.0000
CoxPH $_{LogRank}$,0.5,0.25,0.7236 ± 0.0159,0.6063 ± 0.0199,0.8839 ± 0.0089,0.0000 ± 0.0000,0.7154,0.6094,0.8851,0.0000
CoxPH $_{LogRank}$,0.25,1.0,0.8538 ± 0.0057,0.1385 ± 0.0105,0.8816 ± 0.0109,0.0001 ± 0.0001,0.8534,0.1421,0.8785,0.0000
CoxPH $_{LogRank}$,0.25,0.75,0.8276 ± 0.0087,0.1926 ± 0.0152,0.8895 ± 0.0098,0.0000 ± 0.0000,0.8220,0.1999,0.8876,0.0000
CoxPH $_{LogRank}$,0.25,0.5,0.7916 ± 0.0118,0.3045 ± 0.0176,0.8938 ± 0.0088,0.0000 ± 0.0000,0.7822,0.3129,0.8941,0.0000
CoxPH $_{LogRank}$,0.25,0.25,0.7642 ± 0.0159,0.4881 ± 0.0170,0.8986 ± 0.0091,0.0000 ± 0.0000,0.7538,0.4920,0.9015,0.0000
CoxPH ,1.0,1.0,0.8260 ± 0.0069,0.1409 ± 0.0088,0.8611 ± 0.0099,0.1447 ± 0.0415,0.8269,0.1423,0.8599,0.0495
CoxPH ,1.0,0.75,0.7778 ± 0.0108,0.2287 ± 0.0144,0.8676 ± 0.0092,0.0000 ± 0.0000,0.7748,0.2306,0.8646,0.0000
CoxPH ,1.0,0.5,0.7213 ± 0.0131,0.4200 ± 0.0233,0.8712 ± 0.0086,0.0000 ± 0.0000,0.7164,0.4181,0.8700,0.0000
CoxPH ,1.0,0.25,0.6822 ± 0.0150,0.6905 ± 0.0250,0.8783 ± 0.0088,0.0000 ± 0.0000,0.6808,0.6749,0.8800,0.0000
CoxPH ,0.75,1.0,0.8292 ± 0.0066,0.1417 ± 0.0092,0.8619 ± 0.0102,0.0192 ± 0.0102,0.8325,0.1430,0.8613,0.0008
CoxPH ,0.75,0.75,0.7863 ± 0.0097,0.2258 ± 0.0151,0.8687 ± 0.0096,0.0000 ± 0.0000,0.7881,0.2264,0.8665,0.0000
CoxPH ,0.75,0.5,0.7325 ± 0.0123,0.4118 ± 0.0240,0.8724 ± 0.0088,0.0000 ± 0.0000,0.7316,0.4087,0.8714,0.0000
CoxPH ,0.75,0.25,0.6942 ± 0.0147,0.6749 ± 0.0259,0.8796 ± 0.0089,0.0000 ± 0.0000,0.6914,0.6584,0.8812,0.0000
CoxPH ,0.5,1.0,0.8386 ± 0.0064,0.1433 ± 0.0097,0.8675 ± 0.0100,0.0008 ± 0.0011,0.8385,0.1467,0.8644,0.0000
CoxPH ,0.5,0.75,0.8052 ± 0.0099,0.2140 ± 0.0142,0.8744 ± 0.0093,0.0000 ± 0.0000,0.8015,0.2210,0.8708,0.0000
CoxPH ,0.5,0.5,0.7591 ± 0.0123,0.3741 ± 0.0178,0.8778 ± 0.0081,0.0000 ± 0.0000,0.7522,0.3817,0.8764,0.0000
CoxPH ,0.5,0.25,0.7236 ± 0.0159,0.6063 ± 0.0199,0.8839 ± 0.0089,0.0000 ± 0.0000,0.7154,0.6094,0.8851,0.0000
CoxPH ,0.25,1.0,0.8538 ± 0.0057,0.1385 ± 0.0105,0.8816 ± 0.0109,0.0001 ± 0.0001,0.8534,0.1421,0.8785,0.0000
CoxPH ,0.25,0.75,0.8275 ± 0.0087,0.1926 ± 0.0152,0.8895 ± 0.0098,0.0000 ± 0.0000,0.8219,0.1999,0.8876,0.0000
CoxPH ,0.25,0.5,0.7916 ± 0.0118,0.3045 ± 0.0176,0.8938 ± 0.0088,0.0000 ± 0.0000,0.7822,0.3129,0.8941,0.0000
CoxPH ,0.25,0.25,0.7642 ± 0.0159,0.4881 ± 0.0170,0.8986 ± 0.0091,0.0000 ± 0.0000,0.7538,0.4920,0.9015,0.0000
SurvivalTree $_{LogRank}$,1.0,1.0,0.8195 ± 0.0033,0.1308 ± 0.0041,0.8863 ± 0.0049,0.5367 ± 0.1861,0.8292,0.1270,0.8935,0.1376
SurvivalTree $_{LogRank}$,1.0,0.75,0.7686 ± 0.0123,0.1868 ± 0.0060,0.9106 ± 0.0028,0.0000 ± 0.0000,0.7878,0.1723,0.9123,0.0000
SurvivalTree $_{LogRank}$,1.0,0.5,0.7208 ± 0.0144,0.1752 ± 0.0098,0.9436 ± 0.0034,0.0000 ± 0.0000,0.7285,0.1913,0.9489,0.0000
SurvivalTree $_{LogRank}$,1.0,0.25,0.6467 ± 0.0164,0.0649 ± 0.0043,0.9657 ± 0.0071,0.0671 ± 0.0731,0.6454,0.0658,0.9624,0.0002
SurvivalTree $_{LogRank}$,0.75,1.0,0.8201 ± 0.0046,0.1282 ± 0.0036,0.8886 ± 0.0041,0.1191 ± 0.0393,0.8345,0.1224,0.8955,0.0051
SurvivalTree $_{LogRank}$,0.75,0.75,0.7797 ± 0.0152,0.1761 ± 0.0069,0.9102 ± 0.0038,0.0000 ± 0.0000,0.7984,0.1728,0.9126,0.0000
SurvivalTree $_{LogRank}$,0.75,0.5,0.7411 ± 0.0116,0.1766 ± 0.0101,0.9463 ± 0.0038,0.0000 ± 0.0000,0.7539,0.1933,0.9429,0.0000
SurvivalTree $_{LogRank}$,0.75,0.25,0.6596 ± 0.0144,0.0633 ± 0.0058,0.9698 ± 0.0093,0.2585 ± 0.3284,0.6579,0.0666,0.9624,0.0001
